track_id,genre,subgenre,quality_score,prompt
fact_rock_000008,Rock,Rock,92,"Rock studio production at 143 BPM"
baseline_001,Rock,Alternative Rock,89,"Alternative Rock; 120 BPM; Overdriven Electric Guitars; Punchy Live Acoustic Drums; Driving Bass Guitar"
fact_techno_000003,Techno,Melodic Techno,94,"Melodic Techno studio production at 135 BPM"
fact_trap_000004,Trap,Trap,94,"Trap studio production at 147 BPM"
baseline_001,EDM,Future Bass,93,"Future Bass; 140 BPM; Sidechained Chord Chords; Pitch-Shifted Vocal Chops; Heavy 808 Sub; Bright Arps"
baseline_001,Cinematic,Epic Orchestral,96,"Cinematic Orchestral; 90 BPM; Massive Taiko Drums; Soaring Strings Ensemble; Epic Brass Stabs; Wide Dynamic Range"
baseline_001,Ambient,Drone Ambient,95,"Ambient; 70 BPM; Lush Evolving Synth Drones; Granular Texture; Infinite Reverb Decay; No Drums; Peace & Serenity"
fact_edm_000002,Edm,Future Bass,92,"Future Bass studio production at 141 BPM"
fact_pop_000002,Pop,Pop,90,"Pop studio production at 122 BPM"
fact_cinematic_000001,Cinematic,Cinematic,90,"Cinematic studio production at 129 BPM"
baseline_001,Drill,Drill,92,"UK Drill; 144 BPM; Sliding 808 Pitch Bends; Syncopated Snare Slaps; Dark Atmospheric Keys"
fact_house_000012,House,Deep House,94,"Deep House studio production at 128 BPM"
baseline_001,Pop,Contemporary Pop,91,"Pop; 118 BPM; Catchy Acoustic Guitar Riff; Upbeat Four-on-the-Floor Kick; Polished Vocal Melody; Bright Mix"
fact_house_000001,House,Afro House,93,"Afro House studio production at 121 BPM"
fact_ambient_000004,Ambient,Ambient,92,"Ambient studio production at 137 BPM"
fact_edm_000004,Edm,Dubstep,91,"Dubstep studio production at 121 BPM"
baseline_001,Trap,Trap,94,"Trap; 140 BPM; Booming 808 Sub Bass; Rolling Triple Hi-Hats; Crisp Snare Claps; Dark Minor Bells"
baseline_001,House,Deep House,94,"Deep House; 122 BPM; Warm Sub Bass; Smooth Rhodes Piano; Lush Atmosphere; Driving Kick; 4/4 Beat"
